Title,University,Program,Funding,Year,Recipients_Partners,Description,Category
Sensing the unseen: Advanced hydrogen gas sensor,The University of Sydney,AEA Seed,"$192,703.00",2023,Professor Xiaoke Yi,"As the use of hydrogen gas as a clean and sustainable energy carrier continues to grow, hydrogen sensors will play a critical role in ensuring its safe and efficient use. Hydrogen is naturally colourless and odourless, making it difficult to detect leaks or other hazards. This project is focused on developing a novel sensor for hydrogen gas detection, which will be assisted by artificial intelligence. The new sensor aims to offer higher sensitivity, faster response times and cost-effectiveness compared to current sensors. This sensor could be crucial for monitoring hydrogen in facilities where it's produced, stored, transported or used, enhancing safety and efficiency.","Energy, Environment & Sustainability"
Single-shot anti-fertility vaccine for pigs,The University of Queensland,AEA Seed,"$471,683.00",2023,Dr Rachel Stephenson,"Boar taint is an objectionable odour correlated with androsterone (a male hormone) and skatole (a by-product of intestinal bacteria in males and females) that is often perceived during the cooking of pork and can also affect the flavour of meat and is a major consumer complaint. For centuries, pigs have been castrated to prevent boar taint which limits productivity and increases animal welfare concerns of commercial pork production. This project aims to develop a safe and effective vaccine for long-term hormonal control in pigs. The vaccine is expected to be a single-shot solution that produces long-term antibodies, reducing sex hormone levels in pigs and allowing for more efficient metabolism of skatole. The benefits include humane and sustainable pork production, reduced feed requirements and less waste compared to traditional castration methods, as immunised pigs convert food into body weight more efficiently.",Health & Medical Technology
Sustainable metal extraction and recovery from metal-containing waste for renewable energy transition and circular economy,The University of Adelaide,AEA Seed,"$199,783.00",2023,Associate Professor Chi Wai Kwong,"This project aims to commercialise a process that recovers valuable metals from e-waste and spent lithium-ion batteries sustainably. The project seeks to minimise environmental impact and align with Australia's commitment to a circular economy, which emphasises sustainable consumption, production and waste reduction. This project is expected to contribute to Australia's economic growth by creating high-demand products while reducing mineral waste and supporting the transition to renewable energy.","Energy, Environment & Sustainability"
Targeting the Kv1.3 potassium channel to treat chronic kidney disease,Monash University,AEA Seed,"$196,297.00",2023,Dr Dorothy Wai,"Chronic kidney disease (CKD) is a major public health problem, with more than 2 million Australians living with the disease, which is associated with adverse outcomes of kidney failure, cardiovascular disease and premature death. The project is focused on developing a therapy that targets the Kv1.3 potassium channel, a specific type of potassium channel found in the membranes of cells, which plays a role in the function of various tissues, including the kidneys, with the aim of treating CKD. This approach represents a novel strategy in the fight against CKD, which currently has limited treatment options beyond kidney transplantation and dialysis.",Health & Medical Technology
Toward a rapid antibody test (RAT) for phosphine resistant insect pests of stored grain,The University of Queensland,AEA Seed,"$58,666.00",2023,Associate Professor Paul Ebert,"Phosphine fumigation is the mainstay of insect pest control in stored grain, making it essential to international trade and global food biosecurity, a role threatened by phosphine resistant pests. This project aims to create a Rapid Antibody Test (RAT) that can quickly identify every resistance variant in every species of pest insect of stored grain resistant to phosphine. The presence of these resistant insects can lead to significant crop loses; therefore, timely action is crucial to manage them. The technology developed could reinforce Australia's position as a leader in postharvest grain handling and improve the country's competitive stance in international markets.","Energy, Environment & Sustainability"
Towards Non-invasive Pathology using Thermal Imaging Spectroscopy for Skin Cancer Diagnosis,The University of Melbourne,AEA Seed,"$200,000.00",2023,Miss Noor E Karishma Shaik,"Skin cancer is a prevalent issue in Australia, with 2 out of 3 Australians being diagnosed with it in their lifetime, and one Australian dying every 5 hours. This project aims to develop a non-invasive method to detect skin cancer using a thermal imaging spectroscopy. This camera-based technology will allow for the early detection and categorisation of suspicious skin lesions, potentially improving the accuracy and speed of cancer diagnosis. This can save the time of dermatologists and can also be very useful as an opportunistic screening service in areas with limited access to specialised medical facilities like rural and remote locations.",Health & Medical Technology
Transforming Australian regions for sustainable development: a novel approach to efficient recovery for cleaning contaminated sites,University of South Australia,AEA Seed,"$298,056.00",2023,A/Professor Larissa Statsenko,"This project aims to develop an environmentally friendly and cost-effective technology to recover valuable metals and eliminate harmful compounds from contaminated soils and sediments. The project is part of a larger effort to commercialise processes that recover valuable metals from various forms of waste, such as e-waste and spent lithium-ion batteries, in a sustainable manner. The ongoing rehabilitation of mine sites across Australia is an important issue for the social licence of the resources industry along with cultural impact for traditional landowners. Boosting the value of effective mine site closure will mitigate the costs and promote holistic life of site management.",Health & Medical Technology
Utilising alternative cytokine receptor signalling for enhanced cell-based cancer immunotherapy,The University of Queensland,AEA Seed,"$307,524.00",2023,A/Professor Andrew Brooks,"This project is focused on developing new cell-based therapies by leveraging alternative cytokine receptor signalling pathways. Cytokine receptor signalling pathways refers to the complex communication process between cells that can be harnessed to trigger an immune response against cancer cells. The aim is to create more effective treatments for cancer, which remains one of the most challenging diseases to treat.",Health & Medical Technology
Value Adding Natural Zeolite Resources: Enhanced Anaerobic Digestion for Biogas Production and Nutrient Management,Queensland University of Technology,AEA Seed,"$288,977.00",2023,Professor Graeme Millar,"This project aims to improve biogas production using large-scale anaerobic digesters. These digesters break down organic matter like manure or food waste and the process is enhanced by the addition of natural zeolite. Zeolite can capture nutrients like ammonium, potassium, and phosphate, which are beneficial for wastewater treatment and reducing fertilizer consumption. A more efficient process for digestion means more nutrients can be effectively recovered and used again for other purposes like producing renewable energy.","Energy, Environment & Sustainability"
World's first chemical antibody-based intraoperative diagnostic platform for surgical pathology,Deakin University,AEA Seed,"$200,000.00",2023,Professor Wei Duan,"Cancer ranks as the second-leading cause of death worldwide. During cancer surgery, analysing tissue samples is crucial for detecting any remaining cancer cells and the spread of cancer to lymph nodes. This project aims to develop a tool that surgeons can use during surgery to quickly obtain precise information about internal organs while the patient is still in the operating room. This platform will revolutionise cancer surgical pathology by enabling real-time treatment decisions that are accurate and precise.",Health & Medical Technology
MiniGrav: a drone-deployable miniaturised absolute gravimeter for subsurface mapping,The Australian National University,AEA Seed,"$192,872.00",2024,Dr Samuel Legge,This project will develop a portable prototype that can detect material and structures under the ground. The prototype can be used across a range of fields such as in mining to detect different types of material deposits underground reducing the need for explorative digging as well in defence applications like detection of mines or tunnels. The device is compact enough to be deployed on an unmanned aerial drone or carried by a single soldier.,"Energy, Environment & Sustainability"
Blue Ocean LiDAR (laser) for remote ocean temperature mapping,Macquarie University,AEA Seed,"$182,069.00",2024,Dr Ondrej Kitzler,"This project aims to commercialise a laser-based method to measure subsurface water temperature and depth that is not currently available commercially. This technology is more efficient than existing approaches (satellite and marine buoys) with broad defence and environmental applications including; detection of underwater objects, increased accuracy in predicting coral bleaching events and refinement to climate modelling.","Energy, Environment & Sustainability"
Revolutionising Radiation Protection: World first multiorgan pharmaceutical radiation protectant for defence capability and civilians,The University of Adelaide,AEA Seed,"$395,000.00",2024,Dr Agnieszka Kumorkiewick- Jamro,This project aims to commercialise the first drug developed to protect internal organs from radiation sources. If successful the project will have medical and defence applications.,Health & Medical Technology
"Next-generation stress imaging for rapid structural prototyping, testing and evaluation",The University of Adelaide,AEA Seed,"$372,478.00",2024,Dr John Codrington,"This project will enhance the detection of, track, and predict structural fatigue in aircraft. This will enable industry to design more effectively, manufacture, and prototype innovations that result in shorter development cycles and accelerated structural certification for aircraft.","Energy, Environment & Sustainability"
Sovereign Portable Atomic Clock for a Global Positioning System 2.0,The University of Adelaide,AEA Seed,"$474,794.00",2024,Dr Sarah Scholte,"This project seeks to reduce the size of atomic clocks in next generation GPS satellites which will result in reduced orbital heights and stronger GPS signals that are more resilient to disruption. These clocks will enhance Australian Defence Capability, allowing Australian defence operations to continue unaffected in GPS-denied or contested international environments.",Mining & Resources
A novel satellite thermal management system enabling advancement in defence and remote sensing capabilities,The University of Melbourne,AEA Seed,"$180,813.00",2024,Mr Andrew Woods,This project will apply a new composite 3D printing process to reduce the cost of infrared image acquisition systems in satellites.,"Defence, Aerospace, & Security"
Scaling of Advanced Ammunition Manufacturing,The University of New South Wales,AEA Seed,"$59,584.00",2024,Associate Professor Kevin Laws,"This project aims to support lower cost mass production of new, high-performance ammunition in different calibres used by the Australian Defence Force (ADF). The project will support sovereign ammunition manufacturing capability, strengthen Australia’s ammunition supply-chain and provide a strategic warfighting and ammunition performance advantage to the ADF.","Defence, Aerospace, & Security"
Pioneering portable labs: user-friendly molecular level COVID test strips,The University of New South Wales,AEA Seed,"$491,014.00",2024,Dr Fei Deng,This project aims to establish commercial viability of a new type of portable test-strip for COVID-19. These tests will be sensitive enough to replace the current PCR-based COVID-19 testing and will be suitable for use by untrained individuals.,"Energy, Environment & Sustainability"
Integrated Rocket Motor Case and Nozzle using Nano- Engineered Phenolic Composite,The University of New South Wales,AEA Seed,"$497,636.00",2024,Dr Zhao Sha,"This project aims to develop new carbon composite technology to manufacture integrated single-piece rocket casings, liners, and nozzles. This will reduce the number of rocket failures and support emerging space industries.","Energy, Environment & Sustainability"
Extending radio communications range of Defence platforms through integration of cost-effective functional composite antennas,The University of Queensland,AEA Seed,"$246,600.00",2024,Dr Mitch Dunn,This project is developing a new antenna prototype that integrates into the wing of an uncrewed plane with improved radio performance that withstands the aerodynamic forces of unmanned flight.,"Energy, Environment & Sustainability"
A rapid phase-transition heat absorber by additive manufacturing,University of Technology Sydney,AEA Seed,"$369,285.00",2024,Associate Professor Nick Bennett,This project addresses the growing need in several of Australia’s key industrial sectors to deal with very high heat loads. The project will develop a prototype that controls and absorbs large discharges of thermal energy using 3D-printed components and phase-change materials to rapidly disperse the heat.,"Energy, Environment & Sustainability"
Phased Multibeam Antenna Arrays for Autonomous Drones and Surface Vessels,University of Technology Sydney,AEA Seed,"$311,054.00",2024,Prof Yingjie Guo,"The project will develop a new low-cost, energy efficient antenna technology for autonomous drones and surface vessels as existing solutions are unsuited in power-limited systems (autonomous drones and surface vessels). Additionally, the technology has potential across a range of applications such as enhanced wireless systems for defence, mining automation, intelligent transport, and future communications networks such as 5G and 6G.","Energy, Environment & Sustainability"
Towards passive long-range missile detection based on adaptive multi-spectral mid-wave infrared thermal imaging,The University of Western Australia,AEA Seed,"$443,602.00",2024,Associate Professor Gilberto Umana- Membreno,This project aims to develop a missile detection system that can be made readily available on a larger array of defence platforms to defend personnel and military assets.,"Energy, Environment & Sustainability"
Closed-loop smart cathodic protection technology for infrastructure protection and life extension,Deakin University,AEA Seed,"$440,782.00",2024,Professor Yonguin Mike Tan,The proposed technology will provide protection against corrosion and degradation of critical parts in solar and wind farms.,"Energy, Environment & Sustainability"
Methods for the robust employment of metal additive manufacturing in high risk industrial applications,Charles Darwin University,NIPhD Program - Industry Researcher,"$207,000.00",2023,Effusiontech trading as SPEE3D Pty Ltd,"The project aims to develop techniques that ensure safe and reliable use of metal additive manufacturing (AM) in high-risk industrial applications by using cold spray and other AM technologies. Currently, the widespread use of AM is hindered due to comprehending quality controls and material properties. Significantly, the project will pioneer the establishment of reliable validation methodologies. The outcomes include the development of new validation techniques, materials and process control methods. The benefits are new possibilities for AM as a viable manufacturing technique without onerous levels of validation and testing thus reducing the effects of supply chain issues in remote areas.","Energy, Environment & Sustainability"
Characterisation of the Aetiology and Prodromal Phase of Parkinson’s Disease in a Novel Murine Model,Curtin University,NIPhD Program - Industry Researcher,"$207,000.00",2023,Ozgene Pty Ltd,This project aims to develop a physiologically relevant mouse model of Parkinson’s disease to robustly assess potential efficacy of new treatments for Parkinsons’. Parkinson’s disease is a degenerative brain disorder increasing in prevalence with no cure. Failure to find effective treatments is significantly confounded by a lack of robust preclinical mouse models to efficiently test potential treatments. The outcomes of this project will have a global impact for people living with Parkinson’s disease. The project through the industry partnership will also generate Australian-intellectual property that will be of global interest.,Health & Medical Technology
A deep learning method for radiological analysis of spinopelvic mobility,Flinders University,NIPhD Program - Industry Researcher,"$207,000.00",2023,360 Med Care,"This project aims to using advanced 2D to 3D image reconstruction techniques and artificial intelligence to improve the planning of total hip replacement surgery. The project expects to provide valuable additional information to a surgeon to enhance their surgical decision-making process. This project will enhance the collaboration between 360 MedCare and Flinders University through the application computer vision and deep learning techniques, whilst training the next generation of biomedical engineers. This technology will reduce the risk of dislocation, a major cause of failure of total hip replacements.",Health & Medical Technology
"Co-design and evaluation of a fully interoperable paediatric burns registry for patients, families and clinicians",Griffith University,NIPhD Program - Industry Researcher,"$207,000.00",2023,Children's Health Queensland,"This project aims to co-design and implement a paediatric burns registry using automated data capture (ADC) from electronic medical records. It has the potential to improve efficiency and accuracy of data collection for clinical registries, whilst expanding the scope of data collection for national registries to include outpatient data and patient-reported outcome measures. Expected outcomes include a feasible, acceptable and sustainable implementation of a codesigned paediatric burns registry, providing critical insights into paediatric burn care and informing treatment and prevention strategies. The project has the potential to improve paediatric burns outcomes, provide an implementation template of ADC methods for other clinical registries, improve efficiency and effectiveness of observational healthcare research.",Health & Medical Technology
Highly sensitive nanosensors for the detection of trace gases in air-based gas mixtures,Macquarie University,NIPhD Program - Industry Linked,"$66,240.00",2023,Agscent Pty Ltd,"This project aims to address the agriculture industry's challenge of establishing a non-invasive pregnancy detection system for animals on farms, through the development of advanced gas sensing technologies. The project expects to significantly improve livestock and dairy operator productivity and animal welfare, decrease costs and reduce operator injury. The project will improve gas sensing technology selectivity, fostering a strong research-industry collaboration, and offering the PhD candidate valuable industry insights. This project will revolutionize cattle management across the Meat, Livestock, and Dairy industries, benefiting not only the key industry partner but also various sectors such as food, agriculture, and environmental monitoring.",Health & Medical Technology
Decommissioning of mixed-media industrial equipment and opportunities for plastic waste upcycling and recycling in Australia,Monash University,NIPhD Program - Industry Linked,"$66,240.00",2023,Woodside Energy Group Ltd,"This project aims to identify and assess pathways for polymer recycling applicable to industrial decommissioned equipment. This project expects to generate a circular materials network within the Australian landscape that links scalable technologies for plastic recycling from university and industry research with the appropriate industrial waste streams and material processing partners. Expected outcomes of this project include a network linking industrial waste to upcycling and recycling partners, which maximises the use of Australia’s most novel and scalable polymer processing technologies. The new recycling network will redirect over 50,000 tonnes of material, destined for landfill, into new products and fuels.","Energy, Environment & Sustainability"
